episode,accuracy,f1
0,0.4991201918197503,0.4974854362426423
1,0.4994424287019182,0.4994536425975355
2,0.5001960062924997,0.5002162021074733
3,0.4997234344869583,0.4997264242523016
4,0.499067542880341,0.4990679089703297
5,0.4999365675428803,0.4999521080112492
6,0.5003399979701614,0.5003391029434343
7,0.500067872729118,0.5000773703838803
8,0.5013790216177814,0.5013777998212554
9,0.499654927433269,0.4996718701032327
10,0.4999264183497412,0.499943558978013
11,0.4996365320207043,0.4996504207079562
12,0.5003520501370141,0.5003557858829171
13,0.4998204861463514,0.4998259013992118
14,0.4991829899522988,0.4991987080895116
15,0.4988131787272912,0.4987257392188717
16,0.5004516390946919,0.5004849680725971
17,0.499967649446869,0.4999834235540121
18,0.5012508880543997,0.5012656570899797
19,0.4995832487567238,0.4995855299004397
20,0.4999536943063026,0.4999626848742863
21,0.4996447782401299,0.4996546074866547
22,0.5003120876890287,0.5003199053938521
23,0.4998769410331878,0.4998919548122947
24,0.4991278037146047,0.4991332841350452
25,0.5001319395108089,0.5001351861724607
26,0.5004091393484218,0.5004133856488169
27,0.5001661930376535,0.5001770077289645
28,0.5013771186440678,0.501390757695456
29,0.4997786207246524,0.499755222457675
30,0.50068380188775,0.5004620158989694
31,0.4994113467979296,0.49941472758680633
32,0.5002048868364966,0.5002133858527974
33,0.4997247031361007,0.4997308873862523
34,0.4990916472140465,0.4991064880702728
35,0.5001122754491018,0.5001190622238177
36,0.5003101847153152,0.500321456219612
37,0.5000704100274028,0.5000741972344207
38,0.5013016340200954,0.5013139085218424
39,0.4996657109509794,0.499671386650692
